SensorCode,DateTimeUtc,Address,Mean,Max,Packets,Oui,Channel,Retry,PacketType
557,15-2-2020 17:35,6gLPjFryQYw=,-79,-79,1,WOKP,,,
557,17-2-2020 02:47,z1iMEnxdKfI=,-85,-83,2,fN2Q,,,
557,17-2-2020 09:25,ICa6iXxuJ7A=,-57,-57,1,AiRQ,,,
557,17-2-2020 10:18,7GsmnXUPMC0=,-64,-63,2,zJ96,,,
557,17-2-2020 12:05,MRgbQk4eBXU=,-75,-75,1,EhDx,,,
557,17-2-2020 13:00,E2FoEnoX/9A=,-81,-81,1,UlYh,,,
557,17-2-2020 14:41,0cbgkR0ceLM=,-79,-79,1,ZhER,,,
557,18-2-2020 09:36,bKuh6UFjj6M=,-69,-69,2,Rpmp,,,
557,18-2-2020 11:40,aSyWp/RFl/o=,-81,-81,1,il9a,,,
557,18-2-2020 12:41,vcQ4DZZTh9s=,-73,-71,10,QIPe,,,
557,19-2-2020 01:43,r+mw7f4osWs=,-75,-79,2,nE/P,,,
557,19-2-2020 02:40,2OPhgtuBFrw=,-83,-83,1,cPEc,,,
557,19-2-2020 10:08,8EDa6Tt8K/U=,-81,-81,1,iFvd,,,
557,19-2-2020 10:17,2YEJBuLUOuQ=,-81,-81,1,qBN0,,,
557,19-2-2020 12:28,8EDa6Tt8K/U=,-83,-83,1,iFvd,,,
557,20-2-2020 06:33,peghDdghYvo=,-645,-63,12,hCUZ,,,
557,21-2-2020 10:00,XAenEPf1joc=,-69,-69,2,OKKM,,,
557,21-2-2020 12:19,LDAZ8t/9UWY=,-61,-61,1,oorR,,,
557,21-2-2020 13:05,CGomEJmri3k=,-83,-83,1,#NAME?,,,
557,21-2-2020 14:21,jsms1mW8ODc=,-76,-77,2,AnWO,,,
557,21-2-2020 17:37,YazJFL3xytA=,-85,-85,1,tBjR,,,
557,22-2-2020 02:06,peghDdghYvo=,-592,-57,19,hCUZ,,,
557,22-2-2020 04:58,YLRAHbaPVfE=,-79,-79,1,6B2o,,,
557,22-2-2020 10:47,SGBb4/A1WMU=,-59,-59,1,4tT7,,,
557,22-2-2020 12:35,+hiZ+FUxQbY=,-69,-69,1,ErRz,,,
557,22-2-2020 13:17,EP38LGptOsk=,-79,-79,1,Vi1k,,,
557,22-2-2020 13:25,U4/vQnW34SA=,-89,-89,1,#NAME?,,,
557,23-2-2020 09:10,tjOQLUycgQA=,-83,-83,1,2qEZ,,,
557,24-2-2020 00:45,aQuolMvxuRk=,-742,-71,27,wEoA,,,
557,25-2-2020 08:23,CA+3rGkulnk=,-81,-81,1,lJ8+,,,
557,25-2-2020 08:40,+HunNHnIV1A=,-75,-73,2,okKp,,,
557,26-2-2020 01:31,aQuolMvxuRk=,-792,-73,24,wEoA,,,
557,26-2-2020 02:55,i7XOoJO/e+8=,-61,-61,1,aOzF,,,
557,26-2-2020 06:54,48ObbNWbtvI=,-83,-83,1,HCMs,,,
557,26-2-2020 11:52,wqo7pJ3fgaU=,-77,-77,1,cvJL,,,
557,26-2-2020 15:39,Hj9cL4ltACo=,-79,-79,1,vHV0,,,
557,26-2-2020 16:38,1SNAnfBSfWQ=,-85,-85,1,ClZr,,,
557,26-2-2020 20:14,z1iMEnxdKfI=,-87,-87,1,fN2Q,,,
557,26-2-2020 20:37,tPnXZWg/dGU=,-77,-77,1,eKu7,,,
557,27-2-2020 03:15,z1iMEnxdKfI=,-85,-85,2,fN2Q,,,
557,27-2-2020 03:53,z1iMEnxdKfI=,-79,-79,1,fN2Q,,,
557,27-2-2020 11:24,E2XgHU4MonM=,-67,-67,2,7IkU,,,
557,27-2-2020 11:44,CA+3rGkulnk=,-77,-77,1,lJ8+,,,
557,27-2-2020 12:09,kYqE0SL62w8=,-85,-85,1,GmR6,,,
557,27-2-2020 13:53,bFznZ9xEzRw=,-59,-59,1,mpsf,,,
557,27-2-2020 16:48,xRSGrcVhpAw=,-75,-75,1,JJIO,,,
557,27-2-2020 18:31,aQuolMvxuRk=,-782,-73,12,wEoA,,,
557,27-2-2020 20:58,vtlcJx5O5cA=,-87,-87,1,oBgo,,,
557,28-2-2020 10:14,Oapn9e9BMhE=,-71,-71,1,3gj/,,,
557,28-2-2020 12:07,kYbogee2tI8=,-40,-40,1,0m2X,,,
557,28-2-2020 12:38,PXt7xOsoAmw=,-67,-67,1,BuU4,,,
557,29-2-2020 07:18,CA+3rGkulnk=,-79,-79,1,lJ8+,,,
557,29-2-2020 11:07,lvKV9wQlRlE=,-77,-77,1,0nz2,,,
557,29-2-2020 11:49,F1C0exxSX+4=,-75,-75,1,ZIma,,,
557,29-2-2020 12:51,usZ6DyZMWYA=,-73,-73,1,AsT5,,,
557,29-2-2020 13:21,iz1dkdxNtj0=,-77,-75,2,iIMi,,,
557,29-2-2020 14:12,WTyWxvWIncA=,-85,-85,1,UuC3,,,
557,29-2-2020 14:18,VXjXoUVWtEo=,-68,-69,2,SkRy,,,
557,29-2-2020 18:42,aQuolMvxuRk=,-748,-71,18,wEoA,,,
557,1-3-2020 17:53,CA+3rGkulnk=,-81,-81,1,lJ8+,,,
557,2-3-2020 01:17,i7XOoJO/e+8=,-65,-65,1,aOzF,,,
557,2-3-2020 10:59,gxVoOZQUfNM=,-59,-59,1,SDwM,,,
557,2-3-2020 12:13,6Lx9v7w+1i0=,-81,-81,1,8hID,,,
557,2-3-2020 12:24,KihliMZptHM=,-83,-83,1,fgt6,,,
557,2-3-2020 18:30,F1C0exxSX+4=,-81,-81,1,ZIma,,,
557,3-3-2020 02:05,vtlcJx5O5cA=,-87,-87,1,oBgo,,,
557,3-3-2020 04:56,z1iMEnxdKfI=,-83,-83,1,fN2Q,,,
557,3-3-2020 11:23,RJFWl8wKww0=,-77,-77,1,kJSX,,,
557,3-3-2020 12:20,Adwo9GAZxkE=,-61,-61,1,8mAE,,,
557,3-3-2020 14:24,g7eL9OQkNhA=,-71,-71,1,Gg6g,,,
557,3-3-2020 19:07,A2k6jYOFD6k=,-79,-79,1,VCqi,,,
557,4-3-2020 03:18,aQuolMvxuRk=,-756,-69,16,wEoA,,,
557,4-3-2020 11:04,qR89RC5SxK0=,-57,-61,2,nsdx,,,
557,5-3-2020 01:51,2OPhgtuBFrw=,-87,-87,1,cPEc,,,
557,5-3-2020 09:02,z1iMEnxdKfI=,-87,-87,1,fN2Q,,,
557,5-3-2020 17:57,pfaaAFZbhwo=,-76,-77,2,bhbs,,,
557,6-3-2020 01:23,ItnOTbL8ihM=,-89,-89,2,PI0g,,,
557,6-3-2020 07:45,V5VGV5/X6l8=,-70,-71,2,XF9n,,,
557,6-3-2020 16:52,AT9zut9wx3I=,-57,-57,1,CnXT,,,
557,6-3-2020 16:56,El8VaNNYfpo=,-71,-71,1,4oDU,,,
557,7-3-2020 06:07,i7XOoJO/e+8=,-65,-65,1,aOzF,,,
557,7-3-2020 11:14,i7XOoJO/e+8=,-67,-67,1,aOzF,,,
557,7-3-2020 12:32,vaJqQMN6VhU=,-87,-87,1,fgWA,,,
557,7-3-2020 14:09,viaGlykD+rA=,-68,-67,2,ogn0,,,
